Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,89.500000,91.879997,88.910004,91.699997,87.023163,46188400
2022-05-05,92.040001,92.050003,88.389999,90.309998,85.704056,41013400
2022-05-06,90.980003,91.820000,89.349998,91.690002,87.013680,29619300
2022-05-09,89.440002,89.559998,84.019997,84.459999,80.152428,45851600
2022-05-10,85.639999,86.889999,83.519997,85.019997,80.683853,34483200
2022-05-11,86.430000,88.940002,86.279999,86.790001,82.363586,33020600
2022-05-12,85.949997,86.379997,83.400002,86.300003,82.737495,29491500
2022-05-13,87.360001,88.949997,86.349998,88.860001,85.191811,25798400
2022-05-16,88.980003,91.980003,88.970001,90.949997,87.195526,26101200
2022-05-17,91.730003,92.449997,91.120003,92.110001,88.307655,23120700
2022-05-18,92.510002,92.919998,89.830002,90.650002,86.907921,25451200
2022-05-19,89.000000,92.300003,89.000000,91.139999,87.377693,24387400
2022-05-20,91.930000,93.589996,90.400002,91.860001,88.067970,28795000
2022-05-23,92.660004,94.769997,92.550003,93.889999,90.014175,27239300
2022-05-24,92.820000,94.790001,92.320000,94.400002,90.503128,24293300
2022-05-25,94.580002,96.529999,94.470001,96.300003,92.324684,29947800
2022-05-26,96.599998,97.430000,96.199997,96.639999,92.650650,24314800
2022-05-27,95.949997,97.930000,95.300003,97.589996,93.561432,25588800
2022-05-31,98.559998,99.779999,95.709999,96.000000,92.037064,44888100
2022-06-01,97.019997,98.709999,96.620003,97.839996,93.801109,25815400
2022-06-02,97.290001,98.099998,96.790001,97.669998,93.638130,19089100
2022-06-03,97.900002,99.660004,97.900002,99.089996,94.999512,21038200
2022-06-06,99.180000,99.779999,98.669998,98.839996,94.759834,20682100
2022-06-07,99.699997,103.430000,99.489998,103.370003,99.102829,37810200
2022-06-08,103.489998,105.570000,102.980003,104.589996,100.272469,31613200
2022-06-09,103.419998,104.570000,102.160004,102.330002,98.105766,26607000
2022-06-10,101.940002,103.349998,99.790001,100.459999,96.312950,30950500
2022-06-13,97.519997,97.769997,93.919998,95.849998,91.893257,33421000
2022-06-14,97.410004,98.669998,95.269997,96.099998,92.132935,31264000
2022-06-15,95.989998,96.570000,93.269997,94.889999,90.972893,29620800
2022-06-16,92.410004,93.129997,90.279999,91.389999,87.617363,35696700
2022-06-17,90.959999,91.349998,85.660004,86.120003,82.564926,64610200
2022-06-21,88.580002,92.529999,88.519997,91.480003,87.703659,35951500
2022-06-22,87.540001,89.760002,87.529999,87.860001,84.233086,29727200
2022-06-23,88.660004,89.050003,83.519997,85.209999,81.692482,35757200
2022-06-24,86.949997,88.400002,85.809998,86.900002,83.312714,26639000
